,Grade,Name,Tags
431,5.13a,Au fond Leon,Top rope
432,5.12b,★★ Fiston,Top rope
433,5.12a,Regain de sang (microcosme),Top rope
434,5.11c,★★ Evolution direct,Top rope
435,5.11a,★★ Evolution,Top rope
436,5.12b,★★ Revolution,Top rope
437,5.12a,★★ variante d'acide lactique (finish),Top rope
438,5.10c,★★ Acide lactique,Trad
439,5.11c,variante d'acide lactique (start),Unknown
440,5.13b,Sado-digital,Trad
441,5.13c,Clitoris,Top rope
442,5.13a,★★★ Energie potentielle,Top rope
443,5.12b,★★ Changement d'ethique,Top rope
444,5.11b,★★ Second début,Unknown
445,5.12a,★★ Emilie jolie directe,Trad
446,5.12a,★★ Emilie jolie,Unknown
447,5.12d,Laurel et Hardy,Top rope
448,5.11b,★★ Etienne,Unknown
449,5.10c,★ Toit d'Angèle,Trad
450,5.12a,French can can,Unknown
451,5.12c,Liberté nouvelle,Top rope
452,5.12a,Peau de vache et langue de vipère,Top rope
453,5.11c,Idée noire,Top rope
454,5.9,Mope humide,Top rope
455,,Nom inconnu 2,Trad
456,5.11a,Nom inconnu 1,Unknown
457,5.11a,Alzheimer,Trad
458,5.12d,Schizophrénie,Top rope
459,5.13b,Maladie mentale,Top rope
460,5.11a,Camisole de force,Top rope
461,5.12d,Bipolaire,Top rope
462,5.12b,Scatophile,Top rope
463,,Scaphoïde,Top rope
464,5.13b,Chirurgie esthétique,Top rope
465,5.11d,★ Boltée naturelle,Trad
466,5.9,Pustule,Sport
467,5.12b,★★ Alternative,Sport
468,5.11c,★ L'épicurienne,Trad
469,5.12d,★★ Erreur de jeunesse,Unknown
470,5.11c,★ Virus,Sport
471,5.11a,Toux,Trad
472,5.12c,Tuberculeux,Sport
473,5.12a,Tuberculose,Sport
474,5.12a,★★★ Beat it!,Sport
475,5.13c,Anthropocène,Project
476,5.13d,Poumon d’acier,Sport
477,5.13a,★★★ Peste blanche,Sport
478,5.14a,Bacille de Koch,Sport
479,5.13d,Sanatorium,Sport
480,,Hippocrate,Sport
481,5.13b,Médecine traditionnelle,Trad
482,,Vide juridique,Trad
483,,Le patient,Sport
484,5.12d,Quarantaine,Sport
485,5.11b,★ Macaque-Attaque,Unknown
